Election date,ONS ID,ONS region ID,Constituency name,County name,Region name,Country name,Constituency type,Party name,Party abbreviation,Electoral Commission party ID,MNIS party ID,Electoral Commission adjunct party ID,Candidate first name,Candidate surname,Candidate gender,Sitting MP,Former MP,Member MNIS ID,Votes,Share,Change,Democracy Club person ID
03/12/2015,E14000871,E12000002,Oldham West and Royton,,North West,England,Borough,Labour and Co-operative,Lab,PP53,15,PP119,Jim,McMahon,Male,No,No,4569,17209,0.621129,0.073339,34144
03/12/2015,E14000871,E12000002,Oldham West and Royton,,North West,England,Borough,UK Independence Party,UKIP,PP85,35,,John,Bickley,Male,No,No,,6487,0.234137,0.028003,5300
03/12/2015,E14000871,E12000002,Oldham West and Royton,,North West,England,Borough,Conservative,Con,PP52,4,,James,Daly,Male,No,No,4854,2596,0.093698,-0.096093,4163
03/12/2015,E14000871,E12000002,Oldham West and Royton,,North West,England,Borough,Liberal Democrat,LD,PP90,17,,Jane,Brophy,Female,No,No,,1024,0.036960,0.000123,1432
03/12/2015,E14000871,E12000002,Oldham West and Royton,,North West,England,Borough,Green Party,Green,PP63,44,,Simeon,Hart,Male,No,No,,249,0.008987,-0.010462,7379
03/12/2015,E14000871,E12000002,Oldham West and Royton,,North West,England,Borough,Official Monster Raving Loony Party,MRLP,PP66,119,,Sir Oink,A-Lot,Male,No,No,,141,0.005089,,
05/05/2016,W07000074,W92000004,Ogmore,,Wales,Wales,County,Labour,Lab,PP53,15,,Christopher ,Elmore,Male,No,No,4572,12383,0.521810,-0.003227,4457
05/05/2016,W07000074,W92000004,Ogmore,,Wales,Wales,County,UK Independence Party,UKIP,PP85,35,,Glenda,Davies,Female,No,No,,3808,0.163328,0.008063,5592
05/05/2016,W07000074,W92000004,Ogmore,,Wales,Wales,County,Plaid Cymru,PC,PP77,22,,Abi,Thomas,Female,No,No,,3683,0.157967,0.055631,19644
05/05/2016,W07000074,W92000004,Ogmore,,Wales,Wales,County,Conservative,Con,PP52,4,,Alex,Williams,Male,No,No,,2956,0.126785,-0.033816,19646
05/05/2016,W07000074,W92000004,Ogmore,,Wales,Wales,County,Liberal Democrat,LD,PP90,17,,Janet,Ellard,Female,No,No,,702,0.030109,-0.000580,6320
05/05/2016,E14000921,E12000003,"Sheffield, Brightside and Hillsborough",,Yorkshire and The Humber,England,Borough,Labour,Lab,PP53,15,,Gill,Furniss,Female,No,No,4571,14987,0.638261,0.072435,19647
05/05/2016,E14000921,E12000003,"Sheffield, Brightside and Hillsborough",,Yorkshire and The Humber,England,Borough,UK Independence Party,UKIP,PP85,35,,Steven,Winstone,Male,No,No,,4497,0.191517,-0.029590,6749
05/05/2016,E14000921,E12000003,"Sheffield, Brightside and Hillsborough",,Yorkshire and The Humber,England,Borough,Liberal Democrat,LD,PP90,17,,Mohammed,Shaffaq,Male,No,No,,1385,0.058984,0.013993,12326
05/05/2016,E14000921,E12000003,"Sheffield, Brightside and Hillsborough",,Yorkshire and The Humber,England,Borough,Conservative,Con,PP52,4,,Spencer,Pittfield,Male,No,No,,1267,0.053959,-0.056071,2869
05/05/2016,E14000921,E12000003,"Sheffield, Brightside and Hillsborough",,Yorkshire and The Humber,England,Borough,Green Party,Green,PP63,44,,Christine,Gilligan Kubo,Female,No,No,,938,0.039947,-0.002796,6930
05/05/2016,E14000921,E12000003,"Sheffield, Brightside and Hillsborough",,Yorkshire and The Humber,England,Borough,Yorkshire First,YF,PP2120,182,,Stevie,Manion,Male,No,No,,349,0.014863,,19649
05/05/2016,E14000921,E12000003,"Sheffield, Brightside and Hillsborough",,Yorkshire and The Humber,England,Borough,Give Me Back Elmo,GMBE,PP2641,222,,Bobby,Smith,Male,No,No,,58,0.002470,,7292
16/06/2016,E14000998,E12000007,Tooting,,London,England,Borough,Labour,Lab,PP53,15,,Rosena,Allin-Khan,Female,No,No,4573,17894,0.559205,0.087255,34186
16/06/2016,E14000998,E12000007,Tooting,,London,England,Borough,Conservative,Con,PP52,4,,Dan,Watkins,Male,No,No,,11537,0.360543,-0.058315,4239
16/06/2016,E14000998,E12000007,Tooting,,London,England,Borough,Green Party,Green,PP63,44,,Esther,Obiri-Darko,Female,No,No,,830,0.025938,-0.015180,4749
16/06/2016,E14000998,E12000007,Tooting,,London,England,Borough,Liberal Democrat,LD,PP90,17,,Alex,Glassbrook,Male,No,No,,820,0.025626,-0.013736,
16/06/2016,E14000998,E12000007,Tooting,,London,England,Borough,UK Independence Party,UKIP,PP85,35,,Elizabeth,Jones,Female,No,No,,507,0.015844,-0.012869,52
16/06/2016,E14000998,E12000007,Tooting,,London,England,Borough,Christian Peoples Alliance,CPA,PP79,80,,Des,Coke,Male,No,No,,164,0.005125,,6479
16/06/2016,E14000998,E12000007,Tooting,,London,England,Borough,Official Monster Raving Loony Party,MRLP,PP66,119,,Alan,Hope,Male,No,No,,54,0.001688,,422
16/06/2016,E14000998,E12000007,Tooting,,London,England,Borough,English Democrats,ED,PP17,90,,Graham,Moore,Male,No,No,,50,0.001563,,6504
16/06/2016,E14000998,E12000007,Tooting,,London,England,Borough,Immigrants Political Party,Imm,PP3898,258,,Akbar,Malik,Male,No,No,,44,0.001375,,
16/06/2016,E14000998,E12000007,Tooting,,London,England,Borough,One Love Party,OLP,PP2838,257,,Ankit,Love,Male,No,No,,32,0.001000,,
16/06/2016,E14000998,E12000007,Tooting,,London,England,Borough,Independent,Ind,,8,,Zirwa,Javaid,Female,No,No,,30,0.000938,,
16/06/2016,E14000998,E12000007,Tooting,,London,England,Borough,Independent,Ind,,8,,Zia,Samadani,Female,No,No,,23,0.000719,,
16/06/2016,E14000998,E12000007,Tooting,,London,England,Borough,Give Me Back Elmo,GMBE,PP2641,222,,Bobby,Smith,Male,No,No,,9,0.000281,,7292
16/06/2016,E14000998,E12000007,Tooting,,London,England,Borough,Independent,Ind,,8,,Smiley,Smillie,Male,No,No,,5,0.000156,,
20/10/2016,E14000548,E12000003,Batley and Spen,,Yorkshire and The Humber,England,Borough,Labour,Lab,PP53,15,,Tracy,Brabin,Female,No,No,4588,17506,0.858432,0.426054,
20/10/2016,E14000548,E12000003,Batley and Spen,,Yorkshire and The Humber,England,Borough,English Democrats,ED,PP17,90,,Therese,Hirst,Female,No,No,,969,0.047516,,7009
20/10/2016,E14000548,E12000003,Batley and Spen,,Yorkshire and The Humber,England,Borough,British National Party,BNP,PP3960,67,,David,Furness,Male,No,No,,548,0.026872,,3068
20/10/2016,E14000548,E12000003,Batley and Spen,,Yorkshire and The Humber,England,Borough,Independent,Ind,,8,,Garry,Kitchen,Male,No,No,,517,0.025352,,
20/10/2016,E14000548,E12000003,Batley and Spen,,Yorkshire and The Humber,England,Borough,English Independence,EI,PP4231,1114,,Corbyn,Anti,Male,No,No,,241,0.011818,,
20/10/2016,E14000548,E12000003,Batley and Spen,,Yorkshire and The Humber,England,Borough,Liberty GB,LIGB,PP2032,178,,Jack,Buckby,Male,No,No,,220,0.010788,,
20/10/2016,E14000548,E12000003,Batley and Spen,,Yorkshire and The Humber,England,Borough,Independent,Ind,,8,,Henry,Mayhew,Male,No,No,,153,0.007503,,
20/10/2016,E14000548,E12000003,Batley and Spen,,Yorkshire and The Humber,England,Borough,Independent,Ind,,8,,Ali-Waqas,Khan,Male,No,No,,118,0.005786,,
